scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,0.9994,0.9998,0.9982,0.9986,0.998,0.0,0.9982,0.0,0.9987,0.1264,0.9991,0.9963,0.9991,0.9982,0.0,0.04,1.0,0.7982
ds2,static,22528.0,110.0,0.9999,1.0,0.9997,0.9997,0.741,0.0,0.9995,0.0002,0.9999,0.1419,0.9997,0.9989,0.9997,0.9995,0.0002,0.04,1.0,0.7982
ds3,static,22563.0,120.0,0.9562,0.9846,0.5797,0.7925,0.0934,0.0,0.3991,0.0023,0.9005,0.1345,0.5701,0.3759,0.6984,0.3991,0.0023,0.04,1.0,0.7982
ds4,dynamic,22579.0,114.0,0.9999,1.0,0.9974,0.9994,0.3712,0.0,0.9793,0.0,0.9999,0.1279,0.9895,0.9584,0.9897,0.9793,0.0,0.04,1.0,0.7982
ds5,dynamic,20569.0,102.0,0.9998,0.9999,0.9992,0.9993,0.9767,0.0,0.9992,0.0319,0.9997,0.3281,0.9948,0.9774,0.9836,0.9992,0.0319,0.06,1.0,0.7982
ds6,static,20577.0,105.0,0.9867,0.9944,0.4676,0.9806,0.1216,0.0,0.9533,0.0364,0.9994,0.3152,0.9704,0.885,0.9584,0.9533,0.0364,0.06,1.0,0.7982
ds7,static,23169.0,110.0,0.9436,0.9854,0.82,0.863,0.6762,0.0,0.741,0.0,0.8374,0.0189,0.8512,0.6243,0.8705,0.741,0.0,51.96,1.0,0.7982
ds8,static,22611.0,110.0,0.9903,0.9979,0.9771,0.9821,0.6942,0.0,0.9288,0.0,0.9812,0.0269,0.9631,0.8526,0.9644,0.9288,0.0,0.04,1.0,0.7982
ALL,-,176799.0,,0.9767,0.9938,0.8805,0.9362,0.5866,0.0,0.8731,0.0084,0.9633,0.1509,0.931,0.7778,0.9323,0.8731,0.0084,,8.0,
MACRO,-,,,0.9845,,0.8549,0.9519,0.584,,0.8748,,0.9646,,,,,,,,,
